LabNo,Sample,Replicate,Method,Method2,MountingMedium,Date,Analyst,InitialWeight_g,SamplePercent,FieldsCounted,Counted,Random10FOV,Conc_per1g,MillionsPer1g,RelativePer1g
QR24_145_14,QR24_145,14,16 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.01313,10,16,220,,25388976.59,25.38897659,167555.2171
QR24_145-1,QR24_145,2,16 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.01421,10,16,285,,30390512.39,30.39051239,200562.9838
QR24_145-11,QR24_145,11,16 SPT,Gur-Arieh,SPT,46045,Analyst 2,0.01376,10,16,305,,33586801.37,33.58680137,221656.9767
QR24_145-2,QR24_145,3,16 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.0139,10,16,219,,23873525.35,23.87352535,157553.9568
QR24_145-3,QR24_145,4,16 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01238,10,16,204,,24968747.82,24.96874782,164781.9063
QR24_145-4,QR24_145,5,16 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01331,10,16,175,,19922655.88,19.92265588,131480.0902
QR24_145-5,QR24_145,6,16 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01288,10,16,203,,23881819.7,23.8818197,157608.6957
QR24_145-CB1,QR24_145,1,16 CB,Canti,CB,46035,Analyst 1,0.00119,100,16,140,,17826591.58,17.82659158,117647.0588
QR24_145-CB1,QR24_145,1,16 CB,Canti,CB,46035,Analyst 2,0.00119,100,16,145,,18463255.57,18.46325557,121848.7395
QR24_145-CB1,QR24_145,1,16 CB,Canti,CB,46035,Analyst 1,0.00119,100,16,153,,19481917.95,19.48191795,128571.4286
QR24_145-CB1,QR24_145,1,16 CB,Canti,CB,46035,Analyst 2,0.00119,100,16,158,,20118581.93,20.11858193,132773.1092
QR24_145-CB1,QR24_145,1,16 CB,Canti,CB,46035,Analyst 2,0.00119,100,16,164,,20882578.71,20.88257871,137815.1261
QR24_145-CB1,QR24_145,1,16 CB,Canti,CB,46035,Analyst 1,0.00119,100,16,194,,24702562.62,24.70256262,163025.2101
QR24_145-CB2,QR24_145,2,16 CB,Canti,CB,46035,Analyst 1,0.00113,100,16,147,,19711793.08,19.71179308,130088.4956
QR24_145-CB2,QR24_145,2,16 CB,Canti,CB,46035,Analyst 2,0.00113,100,16,176,,23600514.17,23.60051417,155752.2124
